Model;R²;R²_std;R²_cv(%);MAE;MAE_std;MAE_cv(%);Total_time(s);Avg_time_per_run(s)
Neural Network;0.8777699999999999;0.0018;0.20506510817184456;260.371;1.4693;0.5643101574292068;829.77;27.66
Random Forest;0.8680366666666668;0.0014;0.16128350952916734;273.8026666666667;1.2007;0.43852750399314344;1152.31;38.41
Polynomial Regression;0.8893466666666665;0.0007;0.07870946462571776;250.29666666666668;0.5186;0.20719412963283568;2.54;0.08
XGBoost;0.87805;0.0016;0.182221969136154;263.07800000000003;1.58;0.6005823367974517;35.18;1.17
